id,new_house_transaction_amount
2023 Oct_sector 54,73072.25
2023 Oct_sector 55,63483.84
2023 Oct_sector 56,731.4
2023 Oct_sector 57,35553.93
2023 Oct_sector 58,0.0
2023 Oct_sector 59,65287.1
2023 Oct_sector 60,18110.28
2023 Oct_sector 61,71043.78
2023 Oct_sector 62,42235.81
2023 Oct_sector 63,2991.63
2023 Oct_sector 64,9898.57
2023 Oct_sector 65,26270.94
2023 Oct_sector 66,74339.76
2023 Oct_sector 67,3296.4
2023 Oct_sector 68,21326.98
2023 Oct_sector 69,3926.26
2023 Oct_sector 70,1746.91
2023 Oct_sector 71,20088.01
2023 Oct_sector 72,2288.91
2023 Oct_sector 73,3171.09
2023 Oct_sector 74,0.0
2023 Oct_sector 75,210.67
2023 Oct_sector 76,53465.45
2023 Oct_sector 77,107959.2
2023 Oct_sector 78,33618.89
2023 Oct_sector 79,69618.5
2023 Oct_sector 80,44128.56
2023 Oct_sector 81,29332.8
2023 Oct_sector 82,0.0
2023 Oct_sector 83,89766.49
2023 Oct_sector 84,145.7
2023 Oct_sector 85,137587.04
2023 Oct_sector 86,46651.34
2023 Oct_sector 87,347.9
2023 Oct_sector 88,6236.11
2023 Oct_sector 89,6409.72
2023 Oct_sector 90,826.53
2023 Oct_sector 91,35236.94
2023 Oct_sector 92,26228.17
2023 Oct_sector 93,24130.41
2023 Oct_sector 94,43464.39
2023 Oct_sector 95,0.0
2023 Oct_sector 96,0.0
2023 Nov_sector 1,18562.89
2023 Nov_sector 2,9021.22
2023 Nov_sector 3,19008.98
2023 Nov_sector 4,75251.71
2023 Nov_sector 5,1461.79
2023 Nov_sector 6,27222.65
2023 Nov_sector 7,16810.84
2023 Nov_sector 8,6120.79
2023 Nov_sector 9,30073.12
2023 Nov_sector 10,52062.08
2023 Nov_sector 11,2621.63
2023 Nov_sector 12,473.26
2023 Nov_sector 13,8238.45
2023 Nov_sector 14,1096.77
2023 Nov_sector 15,88929.39
2023 Nov_sector 16,20180.1
2023 Nov_sector 17,5144.1
2023 Nov_sector 18,25501.02
2023 Nov_sector 19,858.4
2023 Nov_sector 20,8938.55
2023 Nov_sector 21,30586.17
2023 Nov_sector 22,20826.83
2023 Nov_sector 23,46671.44
2023 Nov_sector 24,44363.32
2023 Nov_sector 25,55259.29
2023 Nov_sector 26,6680.94
2023 Nov_sector 27,5386.28
2023 Nov_sector 28,56767.47
2023 Nov_sector 29,33069.22
2023 Nov_sector 30,34428.97
2023 Nov_sector 31,9050.56
2023 Nov_sector 32,51974.1
2023 Nov_sector 33,5669.29
2023 Nov_sector 34,80324.64
2023 Nov_sector 35,7421.13
2023 Nov_sector 36,88328.95
2023 Nov_sector 37,1818.77
2023 Nov_sector 38,40158.7
2023 Nov_sector 39,0.0
2023 Nov_sector 40,12916.73
2023 Nov_sector 41,0.0
2023 Nov_sector 42,9379.79
2023 Nov_sector 43,16026.78
2023 Nov_sector 44,12386.55
2023 Nov_sector 45,37349.15
2023 Nov_sector 46,3940.97
2023 Nov_sector 47,18940.41
2023 Nov_sector 48,31048.41
2023 Nov_sector 49,0.0
2023 Nov_sector 50,12395.05
2023 Nov_sector 51,13109.33
2023 Nov_sector 52,0.0
2023 Nov_sector 53,0.0
2023 Nov_sector 54,49161.62
2023 Nov_sector 55,71563.52
2023 Nov_sector 56,790.16
2023 Nov_sector 57,32011.15
2023 Nov_sector 58,0.0
2023 Nov_sector 59,32857.88
2023 Nov_sector 60,13554.33
2023 Nov_sector 61,81079.69
2023 Nov_sector 62,20945.41
2023 Nov_sector 63,4584.9
2023 Nov_sector 64,4844.89
2023 Nov_sector 65,14502.63
2023 Nov_sector 66,45429.49
2023 Nov_sector 67,3189.17
2023 Nov_sector 68,14857.58
2023 Nov_sector 69,1306.44
2023 Nov_sector 70,871.33
2023 Nov_sector 71,9280.3
2023 Nov_sector 72,0.0
2023 Nov_sector 73,6585.98
2023 Nov_sector 74,0.0
2023 Nov_sector 75,211.48
2023 Nov_sector 76,17880.16
2023 Nov_sector 77,76526.92
2023 Nov_sector 78,13132.07
2023 Nov_sector 79,58437.97
2023 Nov_sector 80,34979.87
2023 Nov_sector 81,54564.38
2023 Nov_sector 82,0.0
2023 Nov_sector 83,53834.58
2023 Nov_sector 84,0.0
2023 Nov_sector 85,125623.52
2023 Nov_sector 86,31004.27
2023 Nov_sector 87,0.0
2023 Nov_sector 88,4502.26
2023 Nov_sector 89,5825.99
2023 Nov_sector 90,0.0
2023 Nov_sector 91,20606.1
2023 Nov_sector 92,23342.44
2023 Nov_sector 93,17920.84
2023 Nov_sector 94,45291.86
2023 Nov_sector 95,0.0
2023 Nov_sector 96,0.0
2023 Dec_sector 1,21865.82
2023 Dec_sector 2,6331.51
2023 Dec_sector 3,29254.3
2023 Dec_sector 4,84715.36
2023 Dec_sector 5,3284.85
2023 Dec_sector 6,15593.11
2023 Dec_sector 7,24182.15
2023 Dec_sector 8,4186.83
2023 Dec_sector 9,10768.87
2023 Dec_sector 10,58425.68
2023 Dec_sector 11,2226.52
2023 Dec_sector 12,0.0
2023 Dec_sector 13,13240.49
2023 Dec_sector 14,11725.32
2023 Dec_sector 15,76086.72
2023 Dec_sector 16,42387.09
2023 Dec_sector 17,1570.65
2023 Dec_sector 18,20020.13
2023 Dec_sector 19,1084.08
2023 Dec_sector 20,10606.91
2023 Dec_sector 21,34158.37
2023 Dec_sector 22,55064.33
2023 Dec_sector 23,38365.37
2023 Dec_sector 24,66465.02
2023 Dec_sector 25,34041.69
2023 Dec_sector 26,11630.35
2023 Dec_sector 27,3603.04
2023 Dec_sector 28,54815.25
2023 Dec_sector 29,33172.01
2023 Dec_sector 30,30273.35
2023 Dec_sector 31,8915.81
2023 Dec_sector 32,271080.74
2023 Dec_sector 33,0.0
2023 Dec_sector 34,109758.01
2023 Dec_sector 35,6182.08
2023 Dec_sector 36,120727.48
2023 Dec_sector 37,4534.59
2023 Dec_sector 38,68594.15
2023 Dec_sector 39,2146.75
2023 Dec_sector 40,22388.43
2023 Dec_sector 41,0.0
2023 Dec_sector 42,7024.31
2023 Dec_sector 43,10832.86
2023 Dec_sector 44,0.0
2023 Dec_sector 45,33236.62
2023 Dec_sector 46,7589.51
2023 Dec_sector 47,27388.11
2023 Dec_sector 48,31692.7
2023 Dec_sector 49,0.0
2023 Dec_sector 50,13994.44
2023 Dec_sector 51,23270.46
2023 Dec_sector 52,0.0
2023 Dec_sector 53,728.01
2023 Dec_sector 54,53804.61
2023 Dec_sector 55,85991.63
2023 Dec_sector 56,2035.13
2023 Dec_sector 57,35108.02
2023 Dec_sector 58,0.0
2023 Dec_sector 59,25892.61
2023 Dec_sector 60,12970.33
2023 Dec_sector 61,86544.99
2023 Dec_sector 62,21193.01
2023 Dec_sector 63,4485.03
2023 Dec_sector 64,1230.71
2023 Dec_sector 65,18953.71
2023 Dec_sector 66,77533.97
2023 Dec_sector 67,2165.87
2023 Dec_sector 68,10779.39
2023 Dec_sector 69,3199.95
2023 Dec_sector 70,8856.01
2023 Dec_sector 71,10864.47
2023 Dec_sector 72,501.17
2023 Dec_sector 73,1523.31
2023 Dec_sector 74,0.0
2023 Dec_sector 75,479.72
2023 Dec_sector 76,19980.6
2023 Dec_sector 77,51834.13
2023 Dec_sector 78,23197.63
2023 Dec_sector 79,61329.31
2023 Dec_sector 80,61905.77
2023 Dec_sector 81,62609.69
2023 Dec_sector 82,923.38
2023 Dec_sector 83,63252.33
2023 Dec_sector 84,8932.39
2023 Dec_sector 85,143485.69
2023 Dec_sector 86,34065.15
2023 Dec_sector 87,607.95
2023 Dec_sector 88,1557.2
2023 Dec_sector 89,5848.72
2023 Dec_sector 90,9460.89
2023 Dec_sector 91,23145.19
2023 Dec_sector 92,30979.1
2023 Dec_sector 93,34226.93
2023 Dec_sector 94,57003.49
2023 Dec_sector 95,0.0
2023 Dec_sector 96,0.0
2024 Jan_sector 1,10025.79
2024 Jan_sector 2,9897.59
2024 Jan_sector 3,10841.93
2024 Jan_sector 4,47196.15
2024 Jan_sector 5,1459.79
2024 Jan_sector 6,10477.34
2024 Jan_sector 7,5572.32
2024 Jan_sector 8,11815.15
2024 Jan_sector 9,19987.72
2024 Jan_sector 10,15810.53
2024 Jan_sector 11,5313.07
2024 Jan_sector 12,0.0
2024 Jan_sector 13,3137.77
2024 Jan_sector 14,1486.93
2024 Jan_sector 15,96001.91
2024 Jan_sector 16,28226.89
2024 Jan_sector 17,3197.69
2024 Jan_sector 18,20435.58
2024 Jan_sector 19,254.56
2024 Jan_sector 20,5597.01
2024 Jan_sector 21,29155.75
2024 Jan_sector 22,10411.15
2024 Jan_sector 23,26707.45
2024 Jan_sector 24,35029.07
2024 Jan_sector 25,24164.64
2024 Jan_sector 26,5617.85
2024 Jan_sector 27,7129.78
2024 Jan_sector 28,18253.18
2024 Jan_sector 29,10530.1
2024 Jan_sector 30,43242.45
2024 Jan_sector 31,5537.59
2024 Jan_sector 32,49797.71
2024 Jan_sector 33,0.0
2024 Jan_sector 34,27376.85
2024 Jan_sector 35,7745.11
2024 Jan_sector 36,89025.17
2024 Jan_sector 37,6004.32
2024 Jan_sector 38,19737.29
2024 Jan_sector 39,551.32
2024 Jan_sector 40,0.0
2024 Jan_sector 41,0.0
2024 Jan_sector 42,4025.34
2024 Jan_sector 43,10537.29
2024 Jan_sector 44,0.0
2024 Jan_sector 45,26738.17
2024 Jan_sector 46,3172.44
2024 Jan_sector 47,27873.49
2024 Jan_sector 48,15604.05
2024 Jan_sector 49,0.0
2024 Jan_sector 50,12542.25
2024 Jan_sector 51,9752.05
2024 Jan_sector 52,0.0
2024 Jan_sector 53,0.0
2024 Jan_sector 54,42591.15
2024 Jan_sector 55,47862.4
2024 Jan_sector 56,2119.07
2024 Jan_sector 57,22575.85
2024 Jan_sector 58,0.0
2024 Jan_sector 59,16359.03
2024 Jan_sector 60,21220.78
2024 Jan_sector 61,47591.74
2024 Jan_sector 62,14925.85
2024 Jan_sector 63,6311.14
2024 Jan_sector 64,2127.79
2024 Jan_sector 65,13110.35
2024 Jan_sector 66,30609.74
2024 Jan_sector 67,4068.45
2024 Jan_sector 68,10637.31
2024 Jan_sector 69,1242.39
2024 Jan_sector 70,1154.6
2024 Jan_sector 71,4574.69
2024 Jan_sector 72,745.61
2024 Jan_sector 73,4406.27
2024 Jan_sector 74,0.0
2024 Jan_sector 75,0.0
2024 Jan_sector 76,25000.75
2024 Jan_sector 77,36967.53
2024 Jan_sector 78,14405.36
2024 Jan_sector 79,31700.08
2024 Jan_sector 80,25631.07
2024 Jan_sector 81,5716.39
2024 Jan_sector 82,0.0
2024 Jan_sector 83,45423.39
2024 Jan_sector 84,4263.06
2024 Jan_sector 85,88086.75
2024 Jan_sector 86,10644.56
2024 Jan_sector 87,238.81
2024 Jan_sector 88,3346.48
2024 Jan_sector 89,7871.97
2024 Jan_sector 90,4137.76
2024 Jan_sector 91,12889.27
2024 Jan_sector 92,24497.52
2024 Jan_sector 93,17859.61
2024 Jan_sector 94,24401.32
2024 Jan_sector 95,0.0
2024 Jan_sector 96,0.0
2024 Feb_sector 1,6276.4
2024 Feb_sector 2,3945.36
2024 Feb_sector 3,7759.01
2024 Feb_sector 4,25944.22
2024 Feb_sector 5,588.74
2024 Feb_sector 6,15701.2
2024 Feb_sector 7,2694.24
2024 Feb_sector 8,1592.07
2024 Feb_sector 9,16542.91
2024 Feb_sector 10,14655.68
2024 Feb_sector 11,1090.71
2024 Feb_sector 12,0.0
2024 Feb_sector 13,1282.14
2024 Feb_sector 14,8293.58
2024 Feb_sector 15,88013.18
2024 Feb_sector 16,13564.89
2024 Feb_sector 17,391.43
2024 Feb_sector 18,13345.57
2024 Feb_sector 19,408.01
2024 Feb_sector 20,3190.39
2024 Feb_sector 21,18418.0
2024 Feb_sector 22,10211.75
2024 Feb_sector 23,19569.51
2024 Feb_sector 24,24990.07
2024 Feb_sector 25,13806.39
2024 Feb_sector 26,7358.1
2024 Feb_sector 27,1355.01
2024 Feb_sector 28,14215.51
2024 Feb_sector 29,5187.78
2024 Feb_sector 30,3402.31
2024 Feb_sector 31,3421.55
2024 Feb_sector 32,32029.01
2024 Feb_sector 33,0.0
2024 Feb_sector 34,21983.7
2024 Feb_sector 35,2628.48
2024 Feb_sector 36,50881.38
2024 Feb_sector 37,10547.5
2024 Feb_sector 38,38111.61
2024 Feb_sector 39,0.0
2024 Feb_sector 40,4717.54
2024 Feb_sector 41,0.0
2024 Feb_sector 42,1419.55
2024 Feb_sector 43,12174.76
2024 Feb_sector 44,8810.96
2024 Feb_sector 45,11680.32
2024 Feb_sector 46,3275.71
2024 Feb_sector 47,7336.62
2024 Feb_sector 48,2921.3
2024 Feb_sector 49,0.0
2024 Feb_sector 50,3695.22
2024 Feb_sector 51,5475.79
2024 Feb_sector 52,0.0
2024 Feb_sector 53,0.0
2024 Feb_sector 54,70523.4
2024 Feb_sector 55,26990.23
2024 Feb_sector 56,197.64
2024 Feb_sector 57,13930.77
2024 Feb_sector 58,0.0
2024 Feb_sector 59,15180.36
2024 Feb_sector 60,8202.99
2024 Feb_sector 61,34225.2
2024 Feb_sector 62,5409.63
2024 Feb_sector 63,2293.76
2024 Feb_sector 64,2858.87
2024 Feb_sector 65,8420.62
2024 Feb_sector 66,13908.03
2024 Feb_sector 67,2592.24
2024 Feb_sector 68,7917.28
2024 Feb_sector 69,1092.17
2024 Feb_sector 70,345.03
2024 Feb_sector 71,3878.84
2024 Feb_sector 72,747.43
2024 Feb_sector 73,0.0
2024 Feb_sector 74,0.0
2024 Feb_sector 75,0.0
2024 Feb_sector 76,12818.19
2024 Feb_sector 77,64487.45
2024 Feb_sector 78,8545.98
2024 Feb_sector 79,17286.82
2024 Feb_sector 80,7892.17
2024 Feb_sector 81,16719.41
2024 Feb_sector 82,2467.42
2024 Feb_sector 83,27287.17
2024 Feb_sector 84,4221.27
2024 Feb_sector 85,60920.38
2024 Feb_sector 86,4809.54
2024 Feb_sector 87,0.0
2024 Feb_sector 88,336.76
2024 Feb_sector 89,0.0
2024 Feb_sector 90,4946.97
2024 Feb_sector 91,9817.83
2024 Feb_sector 92,13231.75
2024 Feb_sector 93,12561.48
2024 Feb_sector 94,9780.2
2024 Feb_sector 95,0.0
2024 Feb_sector 96,0.0
2024 Mar_sector 1,4605.35
2024 Mar_sector 2,7552.95
2024 Mar_sector 3,15716.51
2024 Mar_sector 4,71227.1
2024 Mar_sector 5,1847.74
2024 Mar_sector 6,12306.99
2024 Mar_sector 7,7058.38
2024 Mar_sector 8,7474.45
2024 Mar_sector 9,44942.29
2024 Mar_sector 10,44429.64
2024 Mar_sector 11,6894.46
2024 Mar_sector 12,471.48
2024 Mar_sector 13,1839.87
2024 Mar_sector 14,16138.03
2024 Mar_sector 15,77257.54
2024 Mar_sector 16,26817.1
2024 Mar_sector 17,391.21
2024 Mar_sector 18,36447.13
2024 Mar_sector 19,416.04
2024 Mar_sector 20,4643.11
2024 Mar_sector 21,22015.23
2024 Mar_sector 22,55954.9
2024 Mar_sector 23,34907.74
2024 Mar_sector 24,79000.74
2024 Mar_sector 25,30000.22
2024 Mar_sector 26,3940.01
2024 Mar_sector 27,4553.97
2024 Mar_sector 28,27233.5
2024 Mar_sector 29,21281.94
2024 Mar_sector 30,35305.92
2024 Mar_sector 31,6911.59
2024 Mar_sector 32,91638.97
2024 Mar_sector 33,61837.24
2024 Mar_sector 34,94926.72
2024 Mar_sector 35,6301.15
2024 Mar_sector 36,135338.66
2024 Mar_sector 37,8695.82
2024 Mar_sector 38,45286.08
2024 Mar_sector 39,1960.18
2024 Mar_sector 40,19777.88
2024 Mar_sector 41,0.0
2024 Mar_sector 42,4042.54
2024 Mar_sector 43,9152.55
2024 Mar_sector 44,0.0
2024 Mar_sector 45,19577.25
2024 Mar_sector 46,6241.3
2024 Mar_sector 47,11789.02
2024 Mar_sector 48,10174.94
2024 Mar_sector 49,0.0
2024 Mar_sector 50,20531.81
2024 Mar_sector 51,23769.75
2024 Mar_sector 52,0.0
2024 Mar_sector 53,546.68
2024 Mar_sector 54,72291.69
2024 Mar_sector 55,78790.84
2024 Mar_sector 56,3163.83
2024 Mar_sector 57,43060.4
2024 Mar_sector 58,87.61
2024 Mar_sector 59,23893.29
2024 Mar_sector 60,23600.07
2024 Mar_sector 61,81737.0
2024 Mar_sector 62,15241.31
2024 Mar_sector 63,2125.06
2024 Mar_sector 64,7348.9
2024 Mar_sector 65,21378.71
2024 Mar_sector 66,55108.54
2024 Mar_sector 67,10852.2
2024 Mar_sector 68,19870.94
2024 Mar_sector 69,2618.33
2024 Mar_sector 70,819.63
2024 Mar_sector 71,13504.48
2024 Mar_sector 72,672.38
2024 Mar_sector 73,0.0
2024 Mar_sector 74,0.0
2024 Mar_sector 75,0.0
2024 Mar_sector 76,14340.83
2024 Mar_sector 77,103877.16
2024 Mar_sector 78,17139.46
2024 Mar_sector 79,38435.5
2024 Mar_sector 80,17001.74
2024 Mar_sector 81,34427.53
2024 Mar_sector 82,0.0
2024 Mar_sector 83,45171.98
2024 Mar_sector 84,9190.91
2024 Mar_sector 85,91919.71
2024 Mar_sector 86,36496.39
2024 Mar_sector 87,0.0
2024 Mar_sector 88,4187.09
2024 Mar_sector 89,3559.14
2024 Mar_sector 90,9023.3
2024 Mar_sector 91,29480.26
2024 Mar_sector 92,38262.55
2024 Mar_sector 93,13316.18
2024 Mar_sector 94,21061.59
2024 Mar_sector 95,0.0
2024 Mar_sector 96,0.0
2024 Apr_sector 1,3622.08
2024 Apr_sector 2,3155.24
2024 Apr_sector 3,3248.82
2024 Apr_sector 4,64991.06
2024 Apr_sector 5,2712.24
2024 Apr_sector 6,19563.67
2024 Apr_sector 7,5948.29
2024 Apr_sector 8,6278.91
2024 Apr_sector 9,10381.5
2024 Apr_sector 10,52813.59
2024 Apr_sector 11,2705.45
2024 Apr_sector 12,0.0
2024 Apr_sector 13,4627.41
2024 Apr_sector 14,1091.5
2024 Apr_sector 15,129116.81
2024 Apr_sector 16,176137.43
2024 Apr_sector 17,764.6
2024 Apr_sector 18,22635.37
2024 Apr_sector 19,0.0
2024 Apr_sector 20,2872.14
2024 Apr_sector 21,39466.06
2024 Apr_sector 22,26072.83
2024 Apr_sector 23,26402.9
2024 Apr_sector 24,50708.92
2024 Apr_sector 25,22194.85
2024 Apr_sector 26,592.59
2024 Apr_sector 27,7479.27
2024 Apr_sector 28,20201.73
2024 Apr_sector 29,26685.47
2024 Apr_sector 30,22306.29
2024 Apr_sector 31,8360.53
2024 Apr_sector 32,75067.72
2024 Apr_sector 33,650.53
2024 Apr_sector 34,70338.4
2024 Apr_sector 35,10636.63
2024 Apr_sector 36,89914.1
2024 Apr_sector 37,3100.5
2024 Apr_sector 38,42644.66
2024 Apr_sector 39,0.0
2024 Apr_sector 40,4712.5
2024 Apr_sector 41,0.0
2024 Apr_sector 42,5334.2
2024 Apr_sector 43,15083.82
2024 Apr_sector 44,0.0
2024 Apr_sector 45,18721.71
2024 Apr_sector 46,8129.9
2024 Apr_sector 47,30203.45
2024 Apr_sector 48,21961.74
2024 Apr_sector 49,0.0
2024 Apr_sector 50,14383.94
2024 Apr_sector 51,32033.81
2024 Apr_sector 52,0.0
2024 Apr_sector 53,0.0
2024 Apr_sector 54,50651.82
2024 Apr_sector 55,77637.11
2024 Apr_sector 56,3604.11
2024 Apr_sector 57,22204.77
2024 Apr_sector 58,87.71
2024 Apr_sector 59,21143.52
2024 Apr_sector 60,11917.88
2024 Apr_sector 61,103039.8
2024 Apr_sector 62,9397.71
2024 Apr_sector 63,7639.52
