month,sector,num_new_house_transactions,area_new_house_transactions,price_new_house_transactions,new_house_transaction_amount,area_per_unit_new_house_transactions,total_price_per_unit_new_house_transactions,num_new_house_available_for_sale,area_new_house_available_for_sale,period_new_house_sell_through,yr,m
2019-Jan,sector 54,75,9539,51991,49593.59,127,661.25,335.0,67925.0,7.28,2019,1
2019-Jan,sector 55,373,40803,22506,91832.34,109,246.2,5418.0,603774.0,5.69,2019,1
2019-Jan,sector 56,17,1564,9241,1445.32,92,85.02,213.0,20765.0,8.71,2019,1
2019-Jan,sector 57,4,547,23640,1293.34,137,323.34,347.0,46053.0,54.67,2019,1
2019-Jan,sector 58,36,3133,14827,4645.91,87,129.05,421.0,38717.0,5.02,2019,1
2019-Jan,sector 59,44,3723,28704,10687.73,85,242.9,1354.0,132681.0,29.12,2019,1
2019_Jan,sector 60,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 61,11,967,42718,4129.04,88,375.37,243.0,25460.0,20.42,2019,1
2019_Jan,sector 62,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 63,25,2067,78015,16126.17,83,645.05,187.0,17715.0,9.38,2019,1
2019-Jan,sector 64,12,1314,55067,7235.11,109,602.93,175.0,25345.0,18.16,2019,1
2019-Jan,sector 65,24,4008,76872,28803.22,163,1252.31,72.0,12310.0,3.46,2019,1
2019-Jan,sector 66,16,1403,39307,5516.34,88,344.77,131.0,11250.0,12.06,2019,1
2019-Jan,sector 67,35,3907,16596,6484.06,112,185.26,1055.0,153838.0,28.12,2019,1
2019-Jan,sector 68,188,19609,17127,33583.97,104,178.64,2071.0,252098.0,9.86,2019,1
2019-Jan,sector 69,23,2668,10754,2869.19,116,124.75,714.0,120994.0,20.15,2019,1
2019-Jan,sector 70,8,870,14176,1232.89,109,154.11,130.0,20265.0,22.83,2019,1
2019_Jan,sector 71,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 72,11,1146,9966,1141.86,104,103.81,278.0,49053.0,117.47,2019,1
2019_Jan,sector 73,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 74,1,129,61533,791.26,129,791.26,110.0,18153.0,10.43,2019,1
2019_Jan,sector 75,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 76,8,811,95197,7720.66,101,965.08,604.0,60355.0,29.41,2019,1
2019-Jan,sector 77,52,5379,42373,22793.39,103,438.33,365.0,45912.0,3.21,2019,1
2019-Jan,sector 78,10,1376,27204,3743.09,138,374.31,115.0,14952.0,8.42,2019,1
2019-Jan,sector 79,52,5093,34027,17328.2,98,333.23,573.0,63483.0,17.92,2019,1
2019-Jan,sector 80,4,346,28103,972.43,87,243.11,108.0,12416.0,23.11,2019,1
2019-Jan,sector 81,7,2677,65563,17551.27,382,2507.32,155.0,41079.0,28.07,2019,1
2019_Jan,sector 82,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 83,8,832,40197,3343.26,104,417.91,432.0,50956.0,88.09,2019,1
2019_Jan,sector 84,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 85,397,42068,21001,87295.0,106,222.69,9062.0,963988.0,18.84,2019,1
2019-Jan,sector 86,218,25361,46592,118162.71,116,542.03,5548.0,659499.0,12.35,2019,1
2019_Jan,sector 87,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Jan,sector 88,204,21279,21300,37312.58,102,216.93,842.0,95355.0,3.92,2019,1
2019-Jan,sector 89,10,1581,61214,9676.57,158,967.66,105.0,16190.0,1.64,2019,1
2019-Jan,sector 90,1,422,42576,1795.37,422,1795.37,237.0,28052.0,90.1,2019,1
2019-Jan,sector 91,29,3600,41641,14989.97,124,516.9,531.0,118029.0,21.17,2019,1
2019-Jan,sector 92,102,12702,20806,26427.72,125,259.1,1705.0,240909.0,10.71,2019,1
2019-Jan,sector 93,45,5631,29375,16539.41,125,367.54,2571.0,304106.0,43.11,2019,1
2019-Jan,sector 94,271,28422,24713,70238.22,105,259.18,2313.0,268498.0,7.28,2019,1
2019_Jan,sector 95,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019_Jan,sector 96,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,1
2019-Feb,sector 1,24,2526,34846,8802.81,105,366.78,158.0,15814.0,4.24,2019,2
2019-Feb,sector 2,64,7304,18433,12868.22,113,207.55,1451.0,170499.0,12.38,2019,2
2019_Feb,sector 3,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 4,3,538,28307,1522.03,179,507.34,36.0,6159.0,5.6,2019,2
2019-Feb,sector 5,1,111,36915,409.13,111,409.13,160.0,17062.0,98.44,2019,2
2019-Feb,sector 6,5,805,16247,603.39,93,150.85,187.0,19520.0,19.64,2019,2
2019-Feb,sector 7,33,4304,31848,13707.95,130,415.39,835.0,120008.0,10.7,2019,2
2019-Feb,sector 8,15,1899,15876,3015.11,127,201.01,1717.0,263071.0,45.8,2019,2
2019-Feb,sector 9,4,250,52756,1318.58,62,329.65,93.0,14474.0,11.71,2019,2
2019-Feb,sector 10,38,3304,30009,9916.07,87,260.95,176.0,16537.0,1.66,2019,2
2019-Feb,sector 11,7,666,12099,805.17,95,115.02,597.0,118395.0,17.54,2019,2
2019-Feb,sector 12,186,18484,19724,36457.26,99,196.01,327.0,39224.0,4.69,2019,2
2019-Feb,sector 13,73,7050,40737,28721.36,97,393.44,1274.0,128682.0,11.16,2019,2
2019-Feb,sector 14,1,79,64665,510.85,79,510.85,41.0,4812.0,6.61,2019,2
2019-Feb,sector 15,16,1227,48007,5891.97,77,368.25,254.0,30386.0,3.17,2019,2
2019-Feb,sector 16,2,280,12385,347.23,140,173.61,74.0,12316.0,11.32,2019,2
2019-Feb,sector 17,1,182,45544,827.8,182,827.8,83.0,21910.0,36.74,2019,2
2019-Feb,sector 18,3,366,37024,1355.82,122,451.94,46.0,10925.0,19.25,2019,2
2019_Feb,sector 19,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 20,25,2443,24254,5925.37,98,237.01,767.0,80689.0,8.9,2019,2
2019-Feb,sector 21,22,4060,44747,18168.09,185,825.82,290.0,38541.0,21.34,2019,2
2019-Feb,sector 22,12,1207,49405,5963.21,101,496.93,136.0,13221.0,1.43,2019,2
2019-Feb,sector 23,8,1769,50959,9017.16,221,1127.14,333.0,57833.0,17.54,2019,2
2019-Feb,sector 24,47,4998,42333,17508.79,96,407.18,465.0,64504.0,2.73,2019,2
2019-Feb,sector 25,31,6279,18222,11441.86,203,369.09,681.0,146267.0,14.46,2019,2
2019-Feb,sector 26,8,826,46121,3810.56,103,476.32,2150.0,238469.0,62.76,2019,2
2019-Feb,sector 27,1,212,20326,430.51,212,430.51,85.0,12805.0,24.88,2019,2
2019-Feb,sector 28,2,343,12776,437.94,171,218.97,169.0,14100.0,24.62,2019,2
2019_Feb,sector 29,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 30,11,3867,55019,21274.75,352,1934.07,418.0,117029.0,32.46,2019,2
2019-Feb,sector 31,85,8751,15062,13180.31,103,155.06,2755.0,299655.0,26.39,2019,2
2019_Feb,sector 32,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019_Feb,sector 33,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 34,6,710,42998,3054.84,118,509.14,329.0,50784.0,22.81,2019,2
2019-Feb,sector 35,14,1475,17395,2566.51,105,183.32,624.0,65078.0,27.54,2019,2
2019-Feb,sector 36,41,4112,37972,15615.15,100,380.86,1013.0,110907.0,19.75,2019,2
2019_Feb,sector 37,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 38,118,11172,51047,57028.72,95,483.29,1557.0,153715.0,4.77,2019,2
2019-Feb,sector 39,2,360,15114,544.12,180,272.06,121.0,19910.0,36.37,2019,2
2019_Feb,sector 40,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019_Feb,sector 41,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 42,4,500,20916,1045.03,125,261.26,182.0,22876.0,21.62,2019,2
2019-Feb,sector 43,41,4007,46055,18455.67,98,450.14,960.0,100524.0,10.19,2019,2
2019-Feb,sector 44,9,512,44273,2267.77,57,251.97,47.0,15525.0,9.05,2019,2
2019-Feb,sector 45,394,40683,20390,82955.4,103,210.55,6070.0,708561.0,11.04,2019,2
2019-Feb,sector 46,45,5729,15579,8287.6,121,188.35,1409.0,277122.0,23.11,2019,2
2019-Feb,sector 47,163,15159,21693,32885.2,93,201.75,1094.0,101719.0,7.0,2019,2
2019-Feb,sector 48,5,662,37803,2504.4,133,500.88,449.0,103065.0,32.24,2019,2
2019_Feb,sector 49,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 50,314,33207,19449,64583.64,106,205.68,2355.0,246568.0,4.84,2019,2
2019-Feb,sector 51,267,28361,29075,82459.99,106,308.84,1672.0,186280.0,3.56,2019,2
2019_Feb,sector 52,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 53,27,2581,48682,12563.91,96,465.33,403.0,39865.0,3.61,2019,2
2019-Feb,sector 54,23,4311,60693,26166.33,187,1137.67,468.0,91462.0,10.83,2019,2
2019-Feb,sector 55,270,26759,23008,61566.71,99,228.02,5594.0,623804.0,5.98,2019,2
2019-Feb,sector 56,3,294,7839,230.79,98,76.93,208.0,20286.0,8.58,2019,2
2019-Feb,sector 57,6,822,18811,1545.87,137,257.64,341.0,45231.0,68.27,2019,2
2019-Feb,sector 58,30,2600,13415,3487.84,87,116.26,399.0,36778.0,5.5,2019,2
2019-Feb,sector 59,14,1321,28180,3722.15,94,265.87,1340.0,131434.0,30.67,2019,2
2019_Feb,sector 60,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 61,3,247,46324,1143.13,82,381.04,240.0,25212.0,21.19,2019,2
2019_Feb,sector 62,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 63,7,940,70249,6601.92,134,943.13,202.0,19106.0,10.26,2019,2
2019-Feb,sector 64,7,607,55699,3382.3,87,483.19,173.0,25178.0,23.4,2019,2
2019-Feb,sector 65,13,2313,76664,17729.66,178,1363.82,58.0,10067.0,3.29,2019,2
2019_Feb,sector 66,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 67,24,2721,19111,5200.17,113,216.67,1033.0,151342.0,35.89,2019,2
2019-Feb,sector 68,76,6761,13875,9143.81,88,121.92,2067.0,252666.0,11.49,2019,2
2019-Feb,sector 69,11,1291,10660,1376.65,117,125.15,705.0,119899.0,21.38,2019,2
2019-Feb,sector 70,4,408,14293,582.94,102,145.73,127.0,19959.0,27.75,2019,2
2019_Feb,sector 71,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 72,11,1000,11011,1100.81,91,100.07,258.0,47115.0,81.39,2019,2
2019-Feb,sector 73,1,133,72112,958.01,133,958.01,130.0,13119.0,60.46,2019,2
2019-Feb,sector 74,4,575,65797,3782.68,144,945.67,108.0,17844.0,11.54,2019,2
2019_Feb,sector 75,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 76,2,289,95383,2755.33,144,1377.67,603.0,60143.0,31.24,2019,2
2019-Feb,sector 77,17,1928,43796,8444.39,113,496.73,361.0,45335.0,3.63,2019,2
2019-Feb,sector 78,3,372,19477,725.32,124,241.77,114.0,14820.0,9.51,2019,2
2019-Feb,sector 79,29,2638,35759,9431.55,91,325.23,707.0,82864.0,25.43,2019,2
2019_Feb,sector 80,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 81,3,1221,72901,8897.68,407,2965.89,151.0,39111.0,26.21,2019,2
2019_Feb,sector 82,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 83,7,1056,50734,5358.73,151,765.53,426.0,50063.0,69.63,2019,2
2019-Feb,sector 84,1,110,66488,729.64,110,729.64,108.0,17555.0,75.29,2019,2
2019-Feb,sector 85,222,24215,22246,53222.18,109,243.02,10853.0,1169819.0,23.62,2019,2
2019-Feb,sector 86,121,14357,47359,67993.91,119,561.93,5447.0,647594.0,12.79,2019,2
2019_Feb,sector 87,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 88,95,9847,22226,14923.61,102,226.12,775.0,88679.0,4.38,2019,2
2019-Feb,sector 89,11,1340,42602,5709.85,122,519.08,98.0,15397.0,1.86,2019,2
2019_Feb,sector 90,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Feb,sector 91,6,1242,33695,4185.14,207,697.52,524.0,116672.0,36.31,2019,2
2019-Feb,sector 92,40,7710,20367,15702.26,193,392.56,1617.0,229889.0,12.01,2019,2
2019-Feb,sector 93,34,4106,30039,12333.61,121,362.75,2438.0,291029.0,47.23,2019,2
2019-Feb,sector 94,177,18453,23748,43823.41,104,247.59,2126.0,248929.0,7.25,2019,2
2019_Feb,sector 95,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019_Feb,sector 96,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,2
2019-Mar,sector 1,68,6732,34589,23283.48,99,342.4,151.0,14767.0,3.68,2019,3
2019-Mar,sector 2,90,10293,18774,18694.8,113,212.44,1418.0,166851.0,14.26,2019,3
2019_Mar,sector 3,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019-Mar,sector 4,4,629,28274,1779.31,157,444.83,34.0,5765.0,9.01,2019,3
2019-Mar,sector 5,2,222,37591,833.24,111,416.62,158.0,16840.0,90.83,2019,3
2019-Mar,sector 6,12,2821,15967,1024.4,92,146.34,178.0,18903.0,15.17,2019,3
2019-Mar,sector 7,41,5228,31138,16279.29,128,397.06,785.0,113679.0,14.75,2019,3
2019-Mar,sector 8,14,1858,19386,3602.07,133,257.29,1703.0,262284.0,49.75,2019,3
2019-Mar,sector 9,16,3600,85081,30631.97,225,1914.5,95.0,15820.0,11.52,2019,3
2019-Mar,sector 10,39,3496,31040,10852.71,90,278.27,135.0,12900.0,1.72,2019,3
2019-Mar,sector 11,50,6016,11778,7085.3,120,141.71,657.0,125382.0,17.24,2019,3
2019-Mar,sector 12,43,4545,20789,9448.16,106,219.72,270.0,33277.0,4.97,2019,3
2019-Mar,sector 13,293,28847,40386,116499.57,98,397.61,767.0,81666.0,6.07,2019,3
2019-Mar,sector 14,3,284,64401,1831.18,95,610.39,88.0,19533.0,31.14,2019,3
2019-Mar,sector 15,21,1898,47909,9093.75,90,433.04,239.0,29075.0,6.73,2019,3
2019-Mar,sector 16,3,454,17640,800.19,151,266.73,73.0,12150.0,17.88,2019,3
2019_Mar,sector 17,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019-Mar,sector 18,8,999,30378,3033.72,125,379.21,54.0,11596.0,16.2,2019,3
2019_Mar,sector 19,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019-Mar,sector 20,58,6126,32541,19933.56,106,343.68,396.0,46966.0,6.06,2019,3
2019-Mar,sector 21,14,2283,49156,11220.3,163,801.45,259.0,32676.0,16.35,2019,3
2019-Mar,sector 22,7,592,49475,2929.14,85,418.45,131.0,12793.0,1.91,2019,3
2019-Mar,sector 23,19,2632,60705,15975.07,139,840.79,242.0,43794.0,19.66,2019,3
2019-Mar,sector 24,40,7084,62082,23765.94,137,848.78,438.0,59825.0,6.78,2019,3
2019-Mar,sector 25,48,9208,17919,15942.74,189,339.21,633.0,136548.0,12.28,2019,3
2019-Mar,sector 26,30,3583,44754,16034.81,119,534.49,2123.0,235269.0,62.63,2019,3
2019-Mar,sector 27,4,427,27055,1155.67,107,288.92,81.0,12304.0,27.57,2019,3
2019-Mar,sector 28,3,231,26064,602.55,77,200.85,23.0,2760.0,4.53,2019,3
2019-Mar,sector 29,3,291,32820,954.82,97,318.27,78.0,7880.0,23.25,2019,3
2019-Mar,sector 30,6,1743,51927,9051.05,291,1508.51,413.0,115606.0,35.59,2019,3
2019-Mar,sector 31,724,78823,21613,170358.58,109,235.3,2489.0,271729.0,12.67,2019,3
2019_Mar,sector 32,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019-Mar,sector 33,5,1095,82207,9001.87,219,1800.37,219.0,31110.0,57.25,2019,3
2019-Mar,sector 34,62,7121,43282,30821.32,115,497.12,267.0,43690.0,14.98,2019,3
2019-Mar,sector 35,80,9011,17641,15895.64,113,198.7,689.0,73556.0,21.85,2019,3
2019-Mar,sector 36,148,14893,37546,55917.82,101,377.82,962.0,106197.0,16.03,2019,3
2019-Mar,sector 37,4,1246,108070,13463.45,311,3365.86,310.0,78629.0,28.5,2019,3
2019-Mar,sector 38,227,21721,51302,111432.62,96,490.89,1234.0,123255.0,4.38,2019,3
2019-Mar,sector 39,3,555,17178,952.74,185,317.58,118.0,19356.0,34.74,2019,3
2019_Mar,sector 40,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019_Mar,sector 41,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019-Mar,sector 42,15,1239,21537,2669.42,83,177.96,222.0,38887.0,39.22,2019,3
2019-Mar,sector 43,120,11587,46902,54346.56,97,452.89,846.0,89525.0,9.77,2019,3
2019-Mar,sector 44,1,253,115507,2920.36,253,2920.36,46.0,15272.0,13.96,2019,3
2019-Mar,sector 45,1197,120808,21052,254329.15,101,212.47,5953.0,699658.0,9.28,2019,3
2019-Mar,sector 46,96,10548,15637,16242.64,111,172.79,1401.0,276333.0,23.91,2019,3
2019-Mar,sector 47,497,44312,21982,97404.81,89,195.99,932.0,86544.0,4.48,2019,3
2019-Mar,sector 48,17,2038,37014,7544.12,120,443.77,436.0,101740.0,41.28,2019,3
2019_Mar,sector 49,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019-Mar,sector 50,712,70987,19963,141712.98,100,199.04,2541.0,261545.0,5.49,2019,3
2019-Mar,sector 51,587,61897,29111,180185.56,105,306.96,1042.0,119758.0,2.02,2019,3
2019_Mar,sector 52,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019-Mar,sector 53,83,7584,48387,36698.73,91,442.15,350.0,34918.0,4.38,2019,3
2019-Mar,sector 54,72,9772,56192,54912.72,136,762.68,479.0,93506.0,10.13,2019,3
2019-Mar,sector 55,1525,150075,25729,386136.2,98,253.2,5643.0,632609.0,7.0,2019,3
2019-Mar,sector 56,19,1869,8214,1535.56,98,80.82,287.0,28029.0,15.37,2019,3
2019-Mar,sector 57,4,482,18792,906.25,121,226.56,337.0,44749.0,94.16,2019,3
2019-Mar,sector 58,81,7257,13819,10028.76,90,123.81,314.0,29251.0,4.33,2019,3
2019-Mar,sector 59,30,2922,28329,8276.55,97,275.88,1309.0,128334.0,32.7,2019,3
2019_Mar,sector 60,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019-Mar,sector 61,10,860,50141,4313.47,86,431.35,302.0,32810.0,25.78,2019,3
2019_Mar,sector 62,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019-Mar,sector 63,18,1623,74028,12017.01,90,667.61,105.0,9841.0,5.83,2019,3
2019-Mar,sector 64,9,785,51959,4078.87,87,453.21,167.0,24630.0,23.69,2019,3
2019-Mar,sector 65,8,1386,77504,10743.81,173,1342.98,66.0,11865.0,4.44,2019,3
2019-Mar,sector 66,17,1462,38577,5638.12,86,331.65,44.0,3951.0,4.13,2019,3
2019-Mar,sector 67,55,6059,18169,11009.29,110,200.17,981.0,145627.0,31.92,2019,3
2019-Mar,sector 68,184,18227,15578,27686.96,98,152.97,1882.0,234505.0,11.36,2019,3
2019-Mar,sector 69,24,2694,11250,3030.95,112,126.29,683.0,117452.0,27.35,2019,3
2019-Mar,sector 70,12,1561,17299,2700.97,130,225.08,114.0,18307.0,22.23,2019,3
2019_Mar,sector 71,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019-Mar,sector 72,2,813,21557,1752.36,406,876.18,565.0,156534.0,217.67,2019,3
2019-Mar,sector 73,5,323,64052,2070.03,65,414.01,128.0,12966.0,73.95,2019,3
2019-Mar,sector 74,8,1205,63399,7640.27,151,955.03,100.0,16650.0,9.67,2019,3
2019_Mar,sector 75,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019-Mar,sector 76,8,763,99902,7623.95,95,952.99,594.0,59297.0,35.0,2019,3
2019-Mar,sector 77,68,6994,43889,29686.94,101,443.09,357.0,44934.0,6.07,2019,3
2019-Mar,sector 78,5,588,19521,1148.53,118,229.71,107.0,14000.0,10.82,2019,3
2019-Mar,sector 79,57,5674,36385,20644.53,100,362.18,654.0,77798.0,22.03,2019,3
2019-Mar,sector 80,1,113,25614,289.71,113,289.71,109.0,12487.0,41.98,2019,3
2019-Mar,sector 81,32,3371,50031,16867.91,105,527.12,146.0,37818.0,19.65,2019,3
2019_Mar,sector 82,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019-Mar,sector 83,5,687,52776,3623.27,137,724.65,355.0,39553.0,51.47,2019,3
2019_Mar,sector 84,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019-Mar,sector 85,394,42386,22498,94904.97,108,242.1,9593.0,1053828.0,22.94,2019,3
2019-Mar,sector 86,422,48552,47585,231031.95,115,547.47,5383.0,634250.0,18.35,2019,3
2019-Mar,sector 87,1,90,29320,263.99,90,263.99,22.0,2087.0,15.74,2019,3
2019-Mar,sector 88,261,28952,22398,57859.79,111,249.4,520.0,60542.0,2.89,2019,3
2019-Mar,sector 89,38,4936,51149,25247.78,130,664.42,57.0,10080.0,2.61,2019,3
2019_Mar,sector 90,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2019,3
2019-Mar,sector 91,25,2501,37609,9404.65,100,376.19,513.0,115434.0,45.5,2019,3
2019-Mar,sector 92,83,13311,21778,28988.95,160,349.26,1676.0,242050.0,15.82,2019,3
2019-Mar,sector 93,79,8565,30717,26310.37,108,333.04,2303.0,280106.0,45.28,2019,3
